eventid,iyear,imonth,iday,approxdate,extended,resolution,country,country_txt,region,region_txt,provstate,city,latitude,longitude,count
201703010029,2017,3,1,,1,,4,Afghanistan,6,South Asia,Laghman,Safiyo Qala,34.667253,70.211718,1414
201703010030,2017,3,1,,1,,4,Afghanistan,6,South Asia,Laghman,Armal,34.689167,70.235556,1414
201703010032,2017,3,1,,1,,4,Afghanistan,6,South Asia,Laghman,Basram,34.667253,70.211718,1414
201703030007,2017,3,3,,0,,4,Afghanistan,6,South Asia,Nangarhar,Mamandari,34.08218,70.667035,1414
201703030023,2017,3,3,,0,,4,Afghanistan,6,South Asia,Farah,Bala Buluk district,32.787478,62.750543,1414
201703030027,2017,3,3,2017-03-03 00:00:00,0,,4,Afghanistan,6,South Asia,Badghis,Joi Khawja,35.492018,63.404299,1414
201703040007,2017,3,4,,0,,4,Afghanistan,6,South Asia,Faryab,Chaghatak,35.957778,64.745833,1414
201703040014,2017,3,4,,0,,4,Afghanistan,6,South Asia,Baghlan,Chashma Sher,36.060909,68.593811,1414
201703040016,2017,3,4,,0,,4,Afghanistan,6,South Asia,Kandahar,Kandahar,31.631083,65.742226,1414
201703040020,2017,3,4,,0,,4,Afghanistan,6,South Asia,Badghis,Bala Morghab,35.58567,63.328087,1414
201703050012,2017,3,5,,0,,4,Afghanistan,6,South Asia,Kunduz,Zakhel,36.703552,68.847084,1414
201703050013,2017,3,5,2017-03-05 00:00:00,0,,4,Afghanistan,6,South Asia,Faryab,Unknown,36.079561,64.905955,1414
201703050014,2017,3,5,,0,,4,Afghanistan,6,South Asia,Kandahar,Nesh district,32.36822,65.703389,1414
201703050023,2017,3,5,2017-03-05 00:00:00,0,,4,Afghanistan,6,South Asia,Nangarhar,Khogyani district,34.229213,70.193208,1414
201703050024,2017,3,5,2017-03-05 00:00:00,0,,4,Afghanistan,6,South Asia,Nangarhar,Bati Kot district,34.263149,70.78821,1414
201703050025,2017,3,5,2017-03-05 00:00:00,0,,4,Afghanistan,6,South Asia,Nangarhar,Khairabad,34.385197,70.243914,1414
201703050033,2017,3,5,,0,,4,Afghanistan,6,South Asia,Nangarhar,Pandola,34.08218,70.667035,1414
201703050034,2017,3,5,,0,,4,Afghanistan,6,South Asia,Nangarhar,Girdi,34.108611,70.666667,1414
201703050035,2017,3,5,,0,,4,Afghanistan,6,South Asia,Nangarhar,Abdul Khel,34.074979,70.69829,1414
201703050036,2017,3,5,,0,,4,Afghanistan,6,South Asia,Nangarhar,Goshtal,34.091049,70.69136,1414
201703060035,2017,3,6,,1,,4,Afghanistan,6,South Asia,Jawzjan,Darzab district,36.001646,65.362895,1414
